"Electricity Price","Annual Electricity Consumption","Number of Residents","Annual Income","Statistical Multiplier"
0.15966421,3115.655,3,49999.5,16717.67092
0.15966421,10422.424,4,89999.5,14034.71499
0.15966421,2297.369,6,49999.5,43752.28522
0.15966421,11845.598,1,109999.5,17241.34428
0.15966421,12340.971,1,29999.5,16004.62884
0.15966421,4267.968,1,9999.5,27889.56399
0.15966421,8204,1,49999.5,13072.70293
0.15966421,2982.857,2,49999.5,33033.60303
0.15966421,12756.136,5,49999.5,22329.9698
0.15966421,7864.04,3,140000,26688.57188
0.15966421,28857.999,4,129999.5,36156.26123
0.15966421,6929.633,2,89999.5,27469.23535
0.15966421,5298.368,2,140000,21161.06383
0.15966421,4256.968,4,9999.5,22116.51717
0.15966421,6918,2,9999.5,34710.45373
0.15966421,9523,1,49999.5,42906.30075
0.15966421,4655.455,3,49999.5,33539.72032
0.15966421,9233.448,4,69999.5,43163.26359
0.15966421,21019,3,109999.5,21287.78889
0.15966421,5840.667,1,29999.5,30488.14171
0.15966421,14948.229,2,69999.5,16255.22809
0.15966421,3591.45,1,69999.5,50439.22051
0.15966421,16834,2,69999.5,22386.25958
0.15966421,2945,1,29999.5,46600.74019
0.15966421,11013.742,2,9999.5,39461.09481
0.15966421,6647,2,89999.5,26517.3309
0.15966421,2398.65,1,9999.5,66648.54584
0.15966421,6697.78,6,29999.5,55103.40927
0.15966421,7882.537,4,140000,29909.47005
0.15966421,6553.806,6,129999.5,16377.79592
0.15966421,1519.933,3,49999.5,10418.8383
0.15966421,9253.983,3,9999.5,42621.66688
0.15966421,18537.695,3,109999.5,12935.02743
0.15966421,40896.09,6,29999.5,17709.81255
0.15966421,3779,1,9999.5,17978.34318
0.15966421,11032.397,1,140000,33635.01456
0.15966421,5773.851,2,29999.5,28052.97987
0.15966421,7372.579,1,29999.5,38624.94897
0.15966421,2304.353,2,140000,41035.80051
0.15966421,9608.962,2,140000,17553.91337
0.15966421,15168.571,4,89999.5,35455.55616
0.15966421,11856.742,4,89999.5,24767.57877
0.15966421,4400.776,1,9999.5,47628.02203
0.15966421,21019.387,4,109999.5,15511.43054
0.15966421,3888.727,1,109999.5,17647.19554
0.15966421,17464.258,5,140000,19201.71173
0.15966421,843.153,2,29999.5,24309.58554
0.15966421,8823.632,3,49999.5,31435.71779
0.15966421,14112.818,1,29999.5,22764.01209
0.15966421,7043,1,9999.5,29688.88416
0.15966421,11527.122,3,29999.5,23997.35562
0.15966421,4406.516,2,129999.5,37644.30211
0.15966421,22028.952,2,69999.5,16060.5181
0.15966421,1841.77,1,9999.5,90803.98244
0.15966421,2370.9,1,140000,42369.39366
0.15966421,4844.126,1,9999.5,17659.36702
0.15966421,6195.819,2,129999.5,35832.05076
0.15966421,33072.856,5,49999.5,21293.44142
0.15966421,13930,4,29999.5,55331.40066
0.15966421,4988.47,2,89999.5,25746.52251
0.15966421,8104.178,3,49999.5,25457.2226
0.15966421,3982.231,2,109999.5,28756.18423
0.15966421,16155.8,4,89999.5,34043.69298
0.15966421,3095.326,1,9999.5,43034.51403
0.15966421,10502.394,3,140000,33539.72032
0.15966421,5539.258,2,69999.5,25969.71396
0.15966421,12838.959,2,109999.5,18035.52565
0.15966421,13258.79,2,69999.5,16257.10456
0.15966421,17141.207,6,49999.5,34892.25845
0.15966421,4262.545,2,129999.5,46045.90973
0.15966421,10945.711,3,109999.5,23820.06823
0.15966421,2867.867,1,69999.5,19776.78954
0.15966421,1701.635,2,49999.5,45107.6025
0.15966421,9033.599,2,49999.5,27420.63564
0.15966421,16591.42,2,49999.5,12987.63537
0.15966421,3311.428,1,49999.5,25539.19066
0.15966421,17598.16,1,49999.5,13848.12076
0.15966421,21136.276,2,69999.5,22034.42374
0.15966421,16064.839,4,89999.5,21784.16697
0.15966421,8783.376,5,49999.5,23639.64983
0.15966421,10966.068,1,49999.5,17401.2088
0.15966421,22601.399,4,140000,11396.33909
0.15966421,4010.636,2,29999.5,19869.31237
0.15966421,13525.889,4,69999.5,29491.56972
0.15966421,13049.278,2,29999.5,13459.64019
0.15966421,15250.789,6,69999.5,33221.39923
0.15966421,9302.862,2,29999.5,30321.89931
0.15966421,7375,1,49999.5,29530.5279
0.15966421,7055.271,4,49999.5,14278.54787
0.15966421,6245.625,2,29999.5,25618.6338
0.15966421,5780,2,9999.5,24190.64274
0.15966421,14201.998,2,29999.5,17636.63284
0.15966421,7686,2,109999.5,20000.6483
0.15966421,6583.204,4,49999.5,16570.79973
0.15966421,6620,2,69999.5,23375.54231
0.15966421,14465.064,2,140000,33539.72032
0.15966421,16076.326,4,89999.5,27993.8596
0.15966421,8336.557,1,49999.5,33035.71228
0.15966421,20979.578,2,129999.5,12109.67603
0.15966421,10875.991,2,89999.5,17672.57018
0.15966421,2375,1,29999.5,29898.65265
0.15966421,14432.294,2,69999.5,12775.03104
0.15966421,3054,1,9999.5,25014.6242
0.15966421,8974.026,1,29999.5,20813.49823
0.15966421,6767.756,1,49999.5,34838.576
0.15966421,14350.337,7,89999.5,19888.5186
0.15966421,18557.823,2,109999.5,20253.83418
0.15966421,13466.718,2,140000,14269.95739
0.15966421,17865.099,3,69999.5,27467.70081
0.15966421,12509.677,5,140000,23090.1064
0.15966421,2279.523,1,140000,22547.43554
0.15966421,9766.751,2,49999.5,23566.07635
0.15966421,23306.628,5,49999.5,11158.96226
0.15966421,7956,2,89999.5,30358.59491
0.15966421,4463.25,3,9999.5,41302.20256
0.15966421,11449.457,4,109999.5,13930.85793
0.15966421,15015,4,69999.5,25540.95039
0.15966421,13167.286,3,29999.5,14367.25737
0.15966421,8424.484,2,9999.5,19817.01764
0.15966421,14967,3,140000,33754.61884
0.15966421,14523.028,4,140000,36824.42761
0.15966421,1967.507,1,49999.5,21161.06383
0.15966421,6423.796,2,109999.5,22463.70436
0.15966421,8486.613,1,9999.5,17396.16028
0.15966421,6046.506,3,29999.5,28276.73014
0.15966421,6874.966,6,29999.5,28111.69471
0.15966421,3628,2,29999.5,35491.52052
0.15966421,10497.075,3,89999.5,27519.26745
0.15966421,6739.129,1,29999.5,17627.36267
0.15966421,12428.677,3,140000,37503.54459
0.15966421,18288.821,5,109999.5,21624.27676
0.15966421,7322,3,140000,29534.17065
0.15966421,3881,5,29999.5,31775.72615
0.15966421,13270.41,3,109999.5,37402.61173
0.15966421,6503.591,4,140000,29834.14127
0.15966421,1790.657,2,69999.5,41608.20183
0.15966421,33953.6,7,140000,25107.78091
0.15966421,4187.488,4,9999.5,40903.91857
0.15966421,6480.923,3,69999.5,35082.837
0.15966421,6937.331,3,29999.5,30378.73114
0.15966421,5250,4,9999.5,29181.47893
0.15966421,24865.158,4,129999.5,18498.73041
0.15966421,3999.355,1,9999.5,25454.24405
0.15966421,7503.092,2,29999.5,15077.06254
0.15966421,4439.296,5,129999.5,38323.56143
0.15966421,3038,4,29999.5,40994.99906
0.15966421,4548.467,3,29999.5,42475.46762
0.15966421,8777.129,2,69999.5,38191.55156
0.15966421,6965,1,49999.5,23951.34665
0.15966421,2690.176,1,109999.5,23267.38442
0.15966421,2225.584,1,29999.5,40201.21317
0.15966421,3079,1,29999.5,21984.17155
0.15966421,7572.478,3,140000,21624.27676
0.15966421,9037.228,6,140000,18519.44767
0.15966421,9044,5,69999.5,22215.02217
0.15966421,9333.533,7,49999.5,39085.51237
0.15966421,3145,1,29999.5,27104.19708
0.15966421,3979.417,3,29999.5,43643.8328
0.15966421,10813.073,2,89999.5,37346.70463
0.15966421,9244.033,2,129999.5,29730.68712
0.15966421,13145,2,49999.5,20978.67997
0.15966421,8169.707,2,89999.5,13700.49602
0.15966421,10674.193,2,49999.5,19953.5723
0.15966421,4888,2,9999.5,21679.59785
0.15966421,11946.059,2,69999.5,29972.85146
0.15966421,6518.439,2,89999.5,13459.64019
0.15966421,3363,2,9999.5,65034.49683
0.15966421,7918.792,5,9999.5,47878.63979
0.15966421,3096.557,3,89999.5,36487.89509
0.15966421,8318.611,2,49999.5,25612.52022
0.15966421,7087,2,9999.5,63520.10204
0.15966421,11652.996,5,69999.5,24295.24169
0.15966421,4103,2,140000,41118.36817
0.15966421,21313.7,3,89999.5,23991.29
0.15966421,12922,5,69999.5,40525.88571
0.15966421,5692.352,2,29999.5,28331.18469
0.15966421,5588,1,9999.5,52015.94536
0.15966421,5723.098,2,49999.5,14150.07664
0.15966421,26471.975,2,109999.5,17666.03351
0.15966421,5941.95,2,49999.5,24310.4643
0.15966421,16290.897,5,89999.5,14541.32022
0.15966421,8285.099,2,29999.5,16091.26586
0.15966421,7691.063,3,140000,21516.93179
0.15966421,5160,1,49999.5,24213.86415
0.15966421,6581.86,2,49999.5,42690.68398
0.15966421,11731.024,2,129999.5,18775.51186
0.15966421,7199.323,1,29999.5,20659.85765
0.15966421,8404.215,2,49999.5,23185.47307
0.15966421,7889.675,4,9999.5,41145.91746
0.15966421,32595.65,7,69999.5,28840.49467
0.15966421,10722.101,2,140000,14082.20703
0.15966421,10798.134,3,109999.5,19440.99591
0.15966421,5294.485,2,9999.5,23639.64983
0.15966421,2487.098,1,49999.5,24015.66691
0.15966421,12341.806,2,140000,24444.35297
0.15966421,7814.988,2,140000,50779.19772
0.15966421,14484.452,5,140000,19478.37786
0.15966421,7561.795,2,49999.5,28863.52055
0.15966421,5807,2,49999.5,41216.94033
0.15966421,14526.519,3,140000,19977.29559
0.15966421,9854,1,49999.5,34438.44479
0.15966421,9452.807,3,69999.5,17920.36588
0.15966421,18825.666,5,29999.5,20152.06342
0.15966421,6031,1,9999.5,53189.28184
0.15966421,6034,3,9999.5,25548.51692
0.15966421,6042.15,3,140000,21248.49041
0.15966421,8332.924,2,140000,36235.37352
0.15966421,2001.651,1,140000,28543.70996
0.15966421,4171,2,9999.5,29463.53836
0.15966421,5052.194,5,89999.5,38536.65046
0.15966421,17281.969,3,29999.5,20070.68218
0.15966421,10578.194,4,29999.5,18405.95199
0.15966421,14374.698,5,140000,36189.87016
0.15966421,1468.477,2,129999.5,52754.81118
0.15966421,512.666,1,140000,49431.70059
0.15966421,3544.424,2,29999.5,36711.61258
0.15966421,18116.867,2,29999.5,20978.67997
0.15966421,7541.463,2,29999.5,32318.24276
0.15966421,5992.611,2,129999.5,19472.81496
0.15966421,2691.353,3,69999.5,33035.64451
0.15966421,27075.169,2,109999.5,14659.05908
0.15966421,2097.545,1,29999.5,20828.00525
0.15966421,4896.548,2,69999.5,24620.87314
0.15966421,6271.182,1,9999.5,27602.00132
0.15966421,3593.067,2,69999.5,31431.00077
0.15966421,2386.884,2,49999.5,39048.67641
0.15966421,15288.671,4,140000,20617.2681
0.15966421,2725.697,1,109999.5,48402.08491
0.15966421,6392,1,89999.5,15448.25919
0.15966421,12098.29,2,69999.5,26371.5302
0.15966421,2749,2,9999.5,41951.17639
0.15966421,20937.77,5,69999.5,12241.5429
0.15966421,3582.98,2,69999.5,36740.79333
0.15966421,5311.989,1,29999.5,39897.53771
0.15966421,6692.067,1,29999.5,16213.83385
0.15966421,2084.445,1,29999.5,37794.03303
0.15966421,2375.963,1,129999.5,29106.37103
0.15966421,3900.878,2,140000,26563.91635
0.15966421,1388,2,69999.5,14269.95739
0.15966421,5058.33,1,9999.5,11475.25512
0.15966421,4103,1,9999.5,17123.45664
0.15966421,24062.514,4,140000,22562.77388
0.15966421,11597.34,1,29999.5,20590.0818
0.15966421,14147.288,2,9999.5,42984.39689
0.15966421,12757.899,4,109999.5,23365.31531
0.15966421,3739.676,2,140000,23901.06135
0.15966421,7587.226,2,29999.5,34686.68442
0.15966421,3390.129,1,29999.5,33346.64897
0.15966421,10051.012,2,140000,20022.01869
0.15966421,6324.75,2,29999.5,32524.51406
0.15966421,15404.038,2,9999.5,45746.49303
0.15966421,7452.289,2,69999.5,22023.668
0.15966421,3590,1,9999.5,21444.94031
0.15966421,9744,2,49999.5,26283.24679
0.15966421,7524.81,2,140000,22719.05393
0.15966421,14270.613,2,69999.5,22152.41267
0.15966421,17225.023,4,69999.5,23313.80988
0.15966421,5198.3,1,29999.5,22459.35924
0.15966421,18967.268,4,140000,22259.88074
0.15966421,4251.422,1,129999.5,18345.87944
0.15966421,10634.875,3,89999.5,18714.72515
0.15966421,31195.642,2,140000,13741.64691
0.15966421,9315.857,1,89999.5,18418.21588
0.15966421,20283.094,1,9999.5,32471.47854
0.15966421,11201,3,69999.5,25565.76812
0.15966421,13377.79,3,69999.5,24620.87314
0.15966421,3026,1,69999.5,38020.37286
0.15966421,13924.217,2,109999.5,19825.72679
0.15966421,6028.412,4,29999.5,19926.89426
0.15966421,13121,2,49999.5,33284.60286
0.15966421,4125.992,3,140000,23424.88407
0.15966421,14356.71,4,109999.5,43782.09995
0.15966421,5703.241,2,129999.5,17690.20355
0.15966421,2814.177,2,89999.5,31867.44852
0.15966421,6687.091,2,89999.5,20242.17036
0.15966421,9775,5,109999.5,67208.86146
0.15966421,9855.859,2,29999.5,33164.20248
0.15966421,2947.381,4,29999.5,52828.79332
0.15966421,4629.142,2,69999.5,32630.52158
0.15966421,5101.519,1,29999.5,43928.08859
0.15966421,9912.677,4,49999.5,44546.11245
0.15966421,6854.548,4,29999.5,22473.96131
0.15966421,2087.125,1,109999.5,19657.3465
0.15966421,8943.067,4,109999.5,24951.55488
0.15966421,3967,2,89999.5,34814.47368
0.15966421,2588.8,2,9999.5,29675.97222
0.15966421,4488.645,3,69999.5,33385.43849
0.15966421,25723.517,6,129999.5,21252.72535
0.15966421,4671.932,2,89999.5,32008.64021
0.15966421,8071.067,4,69999.5,19788.8483
0.15966421,20847.317,4,140000,40547.59935
0.15966421,11101.355,1,49999.5,9378.986684
0.15966421,10230.007,3,9999.5,24813.12605
0.15966421,7519.455,1,89999.5,36160.5808
0.15966421,19005.484,2,109999.5,13909.02416
0.15966421,4690,4,9999.5,56624.43996
0.15966421,9153.955,2,69999.5,14999.58162
0.15966421,5941.108,3,89999.5,23923.72252
0.15966421,5757.867,2,89999.5,35205.84159
0.15966421,20237.506,5,29999.5,35880.678
0.15966421,3311,2,49999.5,58753.16718
0.15966421,3980.343,8,9999.5,49649.37495
0.15966421,2837.646,2,9999.5,16168.12258
0.15966421,6529,3,140000,28011.32294
0.15966421,2913,3,29999.5,55594.33156
0.15966421,8590,2,9999.5,35489.29904
0.15966421,2718.298,1,9999.5,23106.6587
0.15966421,14297.148,4,109999.5,13459.64019
0.15966421,12240.149,2,29999.5,24302.73013
0.15966421,4866,1,9999.5,20490.01458
0.15966421,8751.897,2,29999.5,34271.40711
0.15966421,4848.032,2,140000,39245.10527
0.15966421,15186.758,2,129999.5,40572.04781
0.15966421,16241.455,6,69999.5,11532.88907
0.15966421,10737.669,2,49999.5,48012.90831
0.15966421,6138.818,1,109999.5,40332.42706
0.15966421,10179.829,3,49999.5,25519.62239
0.15966421,26285.634,2,109999.5,22393.25994
0.15966421,6206,1,9999.5,35085.05084
0.15966421,4186.235,2,9999.5,19612.54143
0.15966421,5925.25,2,9999.5,20620.99648
0.15966421,4179.813,1,49999.5,23629.56544
0.15966421,6774.186,5,129999.5,26767.35761
0.15966421,8165.161,2,140000,28594.45827
0.15966421,12011,2,49999.5,16956.12109
0.15966421,9557.129,4,140000,33505.25537
0.15966421,11101.49,3,89999.5,42370.38003
0.15966421,1731.857,1,9999.5,50360.32499
0.15966421,19453.581,3,89999.5,15410.97471
0.15966421,31925.406,3,69999.5,19747.43035
0.15966421,6138.291,1,9999.5,17372.75223
0.15966421,8673,2,109999.5,21706.98405
0.15966421,3930.182,2,129999.5,24586.05253
0.15966421,12863.623,2,9999.5,22509.06149
0.15966421,9782.95,4,140000,13873.84644
0.15966421,5160.032,3,49999.5,22037.51576
0.15966421,9878,4,29999.5,46861.97767
0.15966421,3709.425,2,29999.5,36029.26667
0.15966421,10224.806,4,89999.5,29546.09015
0.15966421,8985.9,2,9999.5,22315.71862
0.15966421,27353.478,4,140000,15028.58682
0.15966421,2094.716,1,29999.5,36711.61258
0.15966421,8860.9,2,69999.5,26759.91604
0.15966421,9156.464,3,89999.5,29491.56972
0.15966421,12706.29,2,69999.5,29034.79884
0.15966421,2836.262,1,9999.5,36443.0683
0.15966421,2854.762,1,29999.5,22802.50306
0.15966421,4510,1,49999.5,26720.57963
0.15966421,2783,2,9999.5,17008.10986
0.15966421,4082,1,9999.5,41841.58389
0.15966421,10891.5,1,49999.5,34454.72502
0.15966421,10627.71,5,140000,26517.3309
0.15966421,1649.228,3,29999.5,40509.12499
0.15966421,3550.767,1,9999.5,37868.97069
0.15966421,8805.484,3,69999.5,24807.07124
0.15966421,20240.416,1,29999.5,19949.96025
0.15966421,3107,1,29999.5,22082.83321
0.15966421,2222,1,9999.5,35576.87267
0.15966421,2633.813,2,9999.5,35852.54123
0.15966421,7803.762,3,140000,22962.97744
0.15966421,9030.232,1,69999.5,15082.38687
0.15966421,9695.96,2,109999.5,26306.9152
0.15966421,6404.219,3,109999.5,27385.53476
0.15966421,27457,1,69999.5,28471.07823
0.15966421,7879,2,140000,28237.49149
0.15966421,4977.079,6,69999.5,39261.39296
0.15966421,7003.774,2,49999.5,42994.09746
0.15966421,11258.484,3,49999.5,18580.97895
0.15966421,2171.946,1,69999.5,20353.72314
0.15966421,11377.539,1,49999.5,29092.96177
0.15966421,5048.029,5,29999.5,58105.22277
0.15966421,9469,3,49999.5,30932.5854
0.15966421,4341.995,2,69999.5,33329.53298
0.15966421,9147.932,3,89999.5,35832.05076
0.15966421,2483.479,1,49999.5,22139.21066
0.15966421,6983.804,2,69999.5,18413.76141
0.15966421,1386.5,1,69999.5,49431.70059
0.15966421,10250.026,1,109999.5,23656.42488
0.15966421,6665.667,1,9999.5,35388.72946
0.15966421,2656,1,9999.5,31632.68845
0.15966421,20049.746,1,69999.5,16091.26586
0.15966421,16205.008,3,29999.5,21875.1386
0.15966421,3217,2,69999.5,35431.2029
0.15966421,10758.563,4,29999.5,35832.05076
0.15966421,12424.516,1,29999.5,39643.78777
0.15966421,3018.711,3,9999.5,28649.80976
0.15966421,9002.547,5,49999.5,24495.62878
0.15966421,12129.856,3,140000,19977.29559
0.15966421,2242.997,3,109999.5,20247.50098
0.15966421,16815.71,2,29999.5,35621.1717
0.15966421,8816.264,1,129999.5,19827.51275
0.15966421,4765.457,2,89999.5,32619.04285
0.15966421,7788.294,3,140000,34315.76742
0.15966421,20117.891,4,69999.5,13246.65709
0.15966421,7092.887,7,29999.5,10253.33328
0.15966421,5872.529,5,49999.5,47068.39521
0.15966421,17222.053,2,69999.5,13888.27605
0.15966421,11092.447,5,129999.5,39703.80185
0.15966421,5372.145,2,89999.5,50557.58878
0.15966421,27407.144,4,9999.5,14472.04393
0.15966421,3128,1,29999.5,46706.62244
0.15966421,2142.329,2,49999.5,34814.47368
0.15966421,10972.149,2,49999.5,22013.66131
0.15966421,10992.438,1,29999.5,66085.83054
0.15966421,3993.44,2,129999.5,22499.14131
0.15966421,21827.195,2,89999.5,26647.73591
0.15966421,4590,1,9999.5,27994.2661
0.15966421,3705.999,1,29999.5,19948.59545
0.15966421,18995.2,2,69999.5,12987.63537
0.15966421,983.594,2,29999.5,19201.3517
0.15966421,2208.367,1,29999.5,52754.81118
0.15966421,5738,3,9999.5,30564.68385
0.15966421,5623,1,49999.5,15029.60344
0.15966421,10010.244,4,89999.5,16095.81993
0.15966421,4145,1,140000,39834.68519
0.15966421,20193,4,129999.5,21211.31027
0.15966421,25947.201,6,109999.5,27525.92432
0.15966421,5981.75,2,29999.5,32344.61251
0.15966421,3450.883,1,9999.5,33853.19391
0.15966421,12903.935,3,109999.5,26370.23501
0.15966421,5214,1,29999.5,19240.46489
0.15966421,12615.516,5,49999.5,14804.27156
0.15966421,6410,2,69999.5,27792.43361
0.15966421,5892.182,2,140000,21451.48035
0.15966421,5990.786,2,29999.5,14380.06169
0.15966421,14748.998,3,29999.5,13764.09015
0.15966421,2975.624,1,29999.5,29926.26139
0.15966421,15272.258,4,109999.5,22871.10639
0.15966421,7019.086,2,69999.5,15206.6811
0.15966421,2460.887,1,109999.5,20527.04803
0.15966421,1690.194,1,9999.5,20616.31671
0.15966421,14434.179,2,140000,17269.76707
0.15966421,8575.119,2,109999.5,16884.34145
0.15966421,7328.107,2,109999.5,40346.48965
0.15966421,6509.136,5,9999.5,28218.65836
0.15966421,12914.613,5,129999.5,22522.69524
0.15966421,21385.461,2,69999.5,25215.43228
0.15966421,2764,3,129999.5,35092.7557
0.15966421,2345.867,1,69999.5,50360.32499
0.15966421,15019.826,2,140000,19820.45015
0.15966421,22213.796,3,109999.5,24852.03747
0.15966421,19137.224,2,69999.5,23616.87943
0.15966421,14627.647,4,129999.5,31334.1237
0.15966421,26396.357,5,140000,20625.90835
0.15966421,11848.817,3,89999.5,15783.63264
0.15966421,6816.404,2,89999.5,19342.72433
0.15966421,8316.173,1,29999.5,22406.99222
0.15966421,2194.373,1,9999.5,13468.69312
0.15966421,8610.152,1,9999.5,20197.12693
0.15966421,8220,2,9999.5,23730.66967
0.15966421,14509.981,3,89999.5,20978.67997
0.15966421,10687.938,3,140000,18825.17975
0.15966421,22790.75,2,109999.5,23758.57167
0.15966421,14699.362,3,69999.5,10770.19504
0.15966421,14747.225,2,49999.5,20613.4109
0.15966421,3663,1,9999.5,78606.81006
0.15966421,9523.568,2,29999.5,21023.59165
0.15966421,6631.697,2,69999.5,27751.94472
0.15966421,10621.321,2,29999.5,44960.34353
0.15966421,11458.097,3,109999.5,20188.34664
0.15966421,19377.618,2,9999.5,19214.28304
0.15966421,16654.484,3,9999.5,18887.02236
0.15966421,1536.882,2,49999.5,55463.27011
0.15966421,15787.645,7,69999.5,16254.81923
0.15966421,11508.774,4,140000,21784.16697
0.15966421,9479,2,9999.5,33995.22895
0.15966421,6751,1,9999.5,21521.73666
0.15966421,15164.06,3,29999.5,32252.11847
0.15966421,7593.161,2,9999.5,58105.15077
0.15966421,7175,4,29999.5,45767.52361
0.15966421,3575.878,3,49999.5,46336.31587
0.15966421,5686.992,2,29999.5,39643.78777
0.15966421,5256.668,1,69999.5,30488.14171
0.15966421,4541.364,4,49999.5,17906.83429
0.15966421,23582.227,4,140000,14564.67243
0.15966421,4639.099,2,109999.5,27516.65646
0.15966421,11161.079,1,69999.5,25421.24221
0.15966421,13271.5,3,140000,23445.53097
0.15966421,13825.648,3,29999.5,31334.1237
0.15966421,15776.428,2,9999.5,17172.23953
0.15966421,3590.261,5,29999.5,27403.16495
0.15966421,11605.097,4,140000,19230.05779
0.15966421,7008.578,2,129999.5,49312.85004
0.15966421,3033,3,9999.5,35265.21996
0.15966421,10948.992,2,29999.5,18506.0633
0.15966421,3741,2,9999.5,41080.04884
0.15966421,1425.344,1,29999.5,43070.35132
0.15966421,9078,1,9999.5,36101.55336
0.15966421,4340.87,1,49999.5,41583.33171
0.15966421,28683.067,5,140000,24951.55488
0.15966421,8751.481,3,109999.5,23517.21987
0.15966421,6073.806,2,140000,15302.06178
0.15966421,16224.097,4,89999.5,29546.70826
0.15966421,5588,4,49999.5,46644.2092
0.15966421,8463.516,4,140000,27978.29215
0.15966421,4422.965,1,89999.5,38050.20529
0.15966421,18137.89,4,9999.5,30106.928
0.15966421,27092.926,2,109999.5,10989.97345
0.15966421,7529,3,140000,22501.31886
0.15966421,10373,6,9999.5,78704.94282
0.15966421,2412,1,9999.5,16864.89595
0.15966421,8039.742,3,69999.5,38191.55156
0.15966421,7462.499,3,29999.5,37342.29191
0.15966421,9774.622,1,9999.5,16712.67329
0.15966421,2715.966,4,29999.5,25014.6242
0.15966421,12876.378,4,69999.5,33505.25537
0.15966421,23353.734,3,140000,15089.32892
0.15966421,4420.356,1,9999.5,24600.34178
0.15966421,8936,2,49999.5,17470.24644
0.15966421,8375,4,29999.5,19998.96751
0.15966421,2219.628,2,69999.5,32964.88564
0.15966421,5041,1,69999.5,22235.34829
0.15966421,4658,1,29999.5,12665.62321
0.15966421,15236.749,3,140000,16510.87524
0.15966421,2059.788,3,109999.5,25360.7533
0.15966421,5527,3,9999.5,35491.52052
0.15966421,6279.39,1,49999.5,45492.28889
0.15966421,21734.125,2,89999.5,14338.74659
0.15966421,2576,1,9999.5,35491.52052
0.15966421,8246.428,3,129999.5,29596.95538
0.15966421,2157.232,1,129999.5,65855.09219
0.15966421,15116.903,6,49999.5,20476.50185
0.15966421,4178.997,2,29999.5,2833.146361
0.15966421,2740.258,1,29999.5,28702.01914
0.15966421,7161.632,2,49999.5,14804.27156
0.15966421,3394.309,2,140000,25994.5536
0.15966421,10789,2,29999.5,23024.79986
0.15966421,11710,4,129999.5,26517.3309
0.15966421,7554.215,1,49999.5,35162.12859
0.15966421,6907.46,2,69999.5,55559.59183
0.15966421,10599.288,3,129999.5,19953.87348
0.15966421,15771.129,5,109999.5,15027.65995
0.15966421,1959.927,2,9999.5,45127.583
0.15966421,9849,3,29999.5,37618.84686
0.15966421,4619.343,2,69999.5,38060.17663
0.15966421,14928,4,140000,19474.42591
0.15966421,2216.969,1,69999.5,42019.41095
0.15966421,2792.353,2,69999.5,24754.70964
0.15966421,10792.146,2,49999.5,31425.61168
0.15966421,10508,3,69999.5,43914.39599
0.15966421,31348.935,2,140000,24162.96171
